# timestamp: 2026-02-10T14:50:02.174630
TEAM_NAME,LAST_GAME_DATE,REST_PENALTY
Indiana Pacers,2026-02-10,0
New York Knicks,2026-02-10,0
LA Clippers,2026-02-10,0
Houston Rockets,2026-02-10,0
Dallas Mavericks,2026-02-10,0
Phoenix Suns,2026-02-10,0
San Antonio Spurs,2026-02-10,0
Los Angeles Lakers,2026-02-10,0
