team,player,position,injury,status,scrape_time
J. JohnsonJalen Johnson,SF,"Mon, Feb 9",Knee,Expected to be out until at least Feb 11,2026-02-10T09:31:23.748273
J. KumingaJonathan Kuminga,PF,"Mon, Feb 9",Knee,Expected to be out until at least Feb 19,2026-02-10T09:31:23.748287
D. DanielsDyson Daniels,SG,"Mon, Feb 9",Ankle,Expected to be out until at least Feb 11,2026-02-10T09:31:23.748296
J. LandaleJock Landale,C,"Wed, Feb 4",Not Injury Related,Game Time Decision,2026-02-10T09:31:23.748303
