ID,Away,Home,Fair,Market,Edge,Kelly,Pick,Result
G1,Knicks,Celtics,3.0,-3.5,6.5,5.14%,Knicks,PENDING
G2,Heat,Wizards,3.0,12.5,9.5,7.5%,Wizards,PENDING
G1,Knicks,Celtics,3.0,-3.5,6.5,5.14%,Knicks,PENDING
G2,Heat,Wizards,3.0,12.5,9.5,7.5%,Wizards,PENDING
G4,Clippers,Timberwolves,3.0,-9.5,12.5,9.26%,Clippers,PENDING
G3,Pacers,Raptors,3.0,-9.5,12.5,9.26%,Pacers,PENDING
G1,Heat,Wizards,3.0,95.0,92.0,9.26%,Wizards,PENDING
G1,Heat,Wizards,3.0,9.5,6.5,5.14%,Wizards,PENDING
