ID,Away,Home,Fair,Market,Edge,Kelly,Pick,Result,Notes
G1,Pacers,Knicks,10.56,-12.5,23.06,9.26%,Pacers,PENDING,Notes for game
G2,Clippers,Rockets,1.43,-7.5,8.93,7.05%,Clippers,PENDING,My notes
G3,Mavericks,Suns,6.52,-8.5,15.02,9.26%,Mavericks,PENDING,Game notes
G4,Spurs,Lakers,8.1,9.5,1.4,1.13%,Lakers,PENDING,Laker game notes
